date,task1,task2,task3,task4,task5
2025-04-20,Block Mon–Fri 9 am–2 pm for 25 h tennis in your calendar,Send confirmation texts/emails to all regular tennis clients,Audit your dog‑portrait shop & IG; update price for €20 profit,Define your “10‑clips/month” at €300; sketch landing page outline,"Plan Google Sheet: tabs for Tennis hrs, Portrait sales, Clipping leads"
2025-04-21,Send “refer‑a‑friend” mini‑flyer to 10 top tennis clients,Outline 10 promo‑post visuals & captions for portraits,Email 20 creators to pitch your clipping service,"Build Google Sheet template with Date, Client, Status, Revenue",Set up IG ad campaign at €5/day targeting pet‑lovers
2025-04-22,Follow up on referrals; confirm any new tennis bookings,Draft & schedule 3 “before & after sketch” Stories for portraits,Review clip‑service replies; book discovery calls,Finalize landing‑page copy & lead‑form,Prepare ad creatives for portrait campaign
2025-04-23,Call 5 top tennis clients to offer small‑group session upsells,Launch your €5/day IG ads; monitor first‑day metrics,Hold 2 clipping discovery calls; send proposals,Update tracking sheet with new leads & statuses,Collect 3 past‑client testimonials for social proof
2025-04-24,Confirm all 25 h tennis slots for next week,Respond to portrait inquiries; aim to close 2 sales,Send follow‑up emails to unresponsive clip leads,Record all bookings/sales in your spreadsheet,Do a 30‑min home body‑weight workout
2025-04-25,Print/distribute updated tennis referral flyers at the court,Reach out to 5 local pet shops for cross‑promo deals,Refine your 3‑email drip sequence based on feedback,Review ad performance; tweak targeting as needed,Take a 10‑min midday meditation & stretch
2025-04-26,Finalize Week 1 tennis bookings & prep Monday’s schedule,Analyze portrait‑ad ROI; save top 3 creatives for reuse,Onboard first clipping client; set up Calendly & Stripe,"Do your Week 1 KPI review at 6 pm (hrs, sales, leads)",Rest & listen to one Charlie Morgan video
2025-04-26,Finalize Week 1 tennis bookings & prep Monday’s schedule,Analyze portrait‑ad ROI; save top 3 creatives for reuse,Onboard first clipping client; set up Calendly & Stripe,"Do your Week 1 KPI review at 6 pm (hrs, sales, leads)",Rest & listen to one Charlie Morgan video
2025-04-27,Email past tennis clients your “refer‑a‑friend” offer,Launch portrait ads at €5/day; define audiences,Follow up on Day 2 clip emails; book 3 more calls,Draft copy for “first 10 buyers” portrait discount,Update spreadsheet with yesterday’s results
2025-04-28,Confirm any new tennis referrals & bookings,Publish first portrait promo post with discount code,Conduct 3 clipping discovery calls; send custom quotes,Gather 3 more testimonials for your landing page,Do a 30‑min home body‑weight circuit workout
2025-04-29,Plan & prep materials for a small‑group tennis trial,Review ad comments/messages; respond within 2 h,Onboard 2 clipping clients; finalize their billing setup,Refine your landing page based on early visitor feedback,Schedule next 5 portrait‑promo posts in advance
2025-04-30,Follow up on group‑session interest; secure attendees,Email past portrait clients a referral incentive,Send drip‑email #2 to unconverted clip leads,Log all new clients & portrait sales in the sheet,Take a 10‑min meditation/stretch break
2025-05-01,"Organize trial group session logistics (courts, balls)",Ship completed portraits; request Instagram reviews,Deliver first batch of clips; collect client feedback,Adjust ad budgets based on ROI data,Prepare notes for Sunday’s KPI check‑in
2025-05-02,Confirm Week 3 tennis schedule with all clients,Launch a €5/day Pinterest ad trial for portraits,Send drip‑email #3 to clip prospects; track replies,Update tracking sheet with ad spend vs. sales,Rest & listen to Charlie Morgan + gentle recovery
